1000	0.000940	0.000150	0.000082	0.000024	
2000	0.003703	0.000320	0.000172	0.000047	
3000	0.008201	0.000487	0.000274	0.000069	
4000	0.014608	0.000786	0.000374	0.000095	
5000	0.022681	0.000846	0.000480	0.000120	
6000	0.033484	0.001036	0.000582	0.000144	
7000	0.045048	0.001225	0.000688	0.000164	
8000	0.057053	0.001410	0.000806	0.000188	
9000	0.071091	0.001558	0.000896	0.000209	
10000	0.086073	0.001702	0.000988	0.000227	
11000	0.103614	0.001872	0.001076	0.000248	
12000	0.125424	0.002107	0.001214	0.000276	
13000	0.146703	0.002245	0.001280	0.000300	
14000	0.167540	0.002439	0.001397	0.000316	
15000	0.195708	0.002716	0.001560	0.000350	
16000	0.217834	0.002805	0.001619	0.000378	
17000	0.246594	0.003025	0.001746	0.000461	
18000	0.278891	0.003207	0.001850	0.000418	
19000	0.309694	0.003354	0.001958	0.000448	
20000	0.341054	0.003559	0.002055	0.000473	
21000	0.381788	0.003901	0.002237	0.000509	
22000	0.417997	0.003961	0.002276	0.000522	
23000	0.461895	0.004937	0.002665	0.000578	
24000	0.518243	0.004649	0.002688	0.000608	
25000	0.557024	0.004745	0.002812	0.000629	
26000	0.595891	0.004874	0.002811	0.000641	
27000	0.628474	0.005076	0.002946	0.000655	
28000	0.683350	0.005326	0.003046	0.000696	
29000	0.756788	0.005553	0.004110	0.000933	
30000	0.800275	0.006308	0.003421	0.000765	
31000	0.881115	0.006161	0.003518	0.000802	
32000	0.936834	0.006334	0.003638	0.000823	
33000	0.968201	0.006382	0.003645	0.000823	
34000	1.012376	0.006319	0.003701	0.000829	
35000	1.067702	0.006719	0.003910	0.000888	
36000	1.128198	0.006922	0.004079	0.000907	
37000	1.201349	0.007291	0.004452	0.000943	
38000	1.270398	0.007381	0.004232	0.000956	
39000	1.346959	0.007371	0.004495	0.000965	
40000	1.415822	0.007918	0.004619	0.001036	
41000	1.502777	0.008271	0.004795	0.001088	
42000	1.544249	0.008299	0.004686	0.001062	
43000	1.613091	0.008326	0.004787	0.001063	
44000	1.692176	0.008522	0.005034	0.001123	
45000	1.776474	0.008932	0.005241	0.001206	
46000	1.859498	0.009121	0.005487	0.001183	
47000	1.886773	0.008909	0.005380	0.001171	
48000	2.002732	0.009521	0.005475	0.001225	
49000	2.087196	0.009517	0.005644	0.001251	
50000	2.127553	0.009534	0.005602	0.001369	
51000	2.215447	0.009767	0.005813	0.001291	
52000	2.303562	0.010679	0.005955	0.001344	
53000	2.390593	0.010216	0.006038	0.001326	
54000	2.530518	0.010998	0.006476	0.001434	
55000	2.662078	0.011119	0.006398	0.001413	
56000	2.669194	0.010884	0.006461	0.001407	
57000	2.837098	0.011831	0.006705	0.001538	
58000	2.948751	0.011456	0.006790	0.001497	
59000	3.029334	0.011353	0.006742	0.001482	
60000	3.131241	0.011669	0.007002	0.001506	
61000	3.255724	0.012147	0.007134	0.001586	
62000	3.324366	0.011998	0.007053	0.001560	
63000	3.444880	0.012182	0.007327	0.001591	
64000	3.489518	0.012441	0.007256	0.001689	
65000	3.607471	0.013040	0.007854	0.001684	
66000	3.795479	0.013065	0.007759	0.001706	
67000	3.890307	0.013333	0.007922	0.001737	
68000	3.983868	0.013647	0.007816	0.001719	
69000	4.036719	0.013541	0.008015	0.001751	
70000	4.164635	0.013724	0.008083	0.001768	
71000	4.359896	0.014009	0.008199	0.001798	
72000	4.500822	0.014934	0.008610	0.001866	
73000	4.625242	0.015273	0.008951	0.001951	
74000	4.823141	0.014938	0.008962	0.001921	
75000	4.944395	0.015251	0.008860	0.001951	
76000	5.017369	0.014922	0.008877	0.001927	
77000	5.069384	0.016143	0.009349	0.002379	
78000	5.279887	0.015376	0.009064	0.001983	
79000	5.370238	0.015883	0.009354	0.002056	
80000	5.503902	0.016063	0.009793	0.002102	
81000	5.797269	0.016224	0.009960	0.002341	
82000	5.818810	0.016293	0.009824	0.002097	
83000	5.982511	0.017520	0.010268	0.002266	
84000	6.156191	0.016604	0.009805	0.002135	
85000	6.333760	0.017256	0.010908	0.002364	
86000	6.532684	0.017517	0.010429	0.002242	
87000	6.484534	0.017435	0.010362	0.002216	
88000	6.619481	0.017874	0.010613	0.002301	
89000	6.999166	0.018397	0.010756	0.002316	
90000	7.152624	0.018617	0.010929	0.002383	
91000	7.353585	0.018968	0.010989	0.002357	
92000	7.378558	0.018893	0.011076	0.002471	
93000	7.417707	0.018685	0.011171	0.002356	
94000	7.665194	0.019053	0.011048	0.002372	
95000	7.873738	0.019265	0.011432	0.002454	
96000	7.952848	0.019273	0.011394	0.002471	
97000	8.128295	0.019569	0.011371	0.002453	
98000	8.289356	0.020150	0.011993	0.002529	
99000	8.431933	0.020380	0.013014	0.002637	
100000	8.686033	0.020907	0.012345	0.002588	
